email,phone,first_name,last_name,company,country,customer_type,customer_subtype,geography,engagement_level,consent_status,consent_source,priority,source,tags,category,source_file
aurorayarnsofalaska@gmail.com,+19076120712,Aurora Yarns,,Aurora Yarns,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
woolymammothalaska@gmail.com,+19072783522,Cabin Fever: Formerly Quilted Raven & Wooly Mammoth,,Cabin Fever: Formerly Quilted Raven & Wooly Mammoth,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
fabulousfiberartsandmore@gmail.com,+19072259161,Fabulous Fiber Arts and More,,Fabulous Fiber Arts and More,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
annie@akfnyc.com,+19072585648,Annie,,Far North Yarn Co.,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,named_contact,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
fibernicealaska@yahoo.com,+19078418904,Fiber N' Ice Alaska,,Fiber N' Ice Alaska,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
glacierpurls@gmail.com,+19077073338,Glacier Purls,,Glacier Purls,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
sales@northernthreads.biz,+19079312599,Northern Threads Inc.,,Northern Threads Inc.,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
sandy@polychromefibers.com,,Sandy,,Polychrome Fibers,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,named_contact",yarn_store_lead,International Yarn Store.xlsx
qiviut@gci.net,+19072729225,Qiviut Shop - Oomingmak Musk Ox Producers Co-Op,,Qiviut Shop - Oomingmak Musk Ox Producers Co-Op,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
robinsestfiberarts@gmail.com,+19283257632,Robin's Nest Fiber Arts,,Robin's Nest Fiber Arts,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
sewnbeecozy@arctic.net,+19072247647,Sew 'n Bee Cozy,,Sew 'n Bee Cozy,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
sewfarnorth@gmail.com,+19074436719,Sew Far North,,Sew Far North,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
thetangledskein@mtaonline.net,+19076229276,Tangled Skein,,Tangled Skein,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
thefiberingsquad@gmail.com,+19079529795,The Fibering Squad,,The Fibering Squad,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
hello@thenetloftak.com,+19074247337,The Net Loft,,The Net Loft,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
therookeryfibershop@gmail.com,+19074860052,The Rookery,,The Rookery,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
deborah@untangledyarnandfiber.com,+19072259276,Deborah,,Untangled Yarn & Fiber,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,named_contact,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
dcknits112@msn.com,+15757707261,Dc Knits,,Dc Knits,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
support@familyartsneedlework.com,+16022770694,Linda,Corirossi,Family Arts Needlework Shop,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,named_contact,has_full_name,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
crochetbyliza123@gmail.com,+14804448866,Crochet by Liza,,Crochet by Liza,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
your@email.com,+19074587177,JOANN Fabric and Crafts,,JOANN Fabric and Crafts,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
contact@sansoxygen.com,+16022792171,SAS Fabrics,,SAS Fabrics,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
info@quailrunneedlework.com,+14805511423,Quail Run Needlework,,Quail Run Needlework,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
bestitchednpt@icloud.com,+14809910706,BeStitched Needlepoint,,BeStitched Needlepoint,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
ginaperkesdesigns@gmail.com,+19283634036,The Copper Needle,,The Copper Needle,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
yarn@wickenburg.com,+19286844937,Isabelle's Parlour - A Yarn Boutique,,Isabelle's Parlour - A Yarn Boutique,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
ruthiesbeads@hotmail.com,+15208367919,Ruthie's Gingerbread Room,,Ruthie's Gingerbread Room,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
info@tempeyarn.com,+14805579166,Tempe Yarn & Fiber,,Tempe Yarn & Fiber,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
info@fibercreekprescott.com,+19287171774,Fiber Creek LLC,,Fiber Creek LLC,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
help@birdhouseyarns.com,+15203054187,Holly,Harper,Birdhouse Yarns,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,named_contact,has_full_name,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
thewinepressgroup@gmail.com,+15202499984,cicada Yarn Shoppe+,,cicada Yarn Shoppe+,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
chn@yarncompany.com,+15627998484,Alamitos Bay Yarn Company,,Alamitos Bay Yarn Company,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
info@uncommonthreadsyarn.com,+16509411815,Uncommon Threads,,Uncommon Threads,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
info@theknittingtreela.com,+14248002651,"The Knitting Tree, LA",,"The Knitting Tree, LA",USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
hello@wollhaus.com,+16267990355,Wollhaus,,Wollhaus,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
info@yarn-fun.com,+17074439276,Yarn,,Yarn,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
theroyalbeeyarncompany@gmail.com,+16508988329,The Royal Bee Yarn Company,,The Royal Bee Yarn Company,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
hello@apricotyarn.com,+16192233603,Sara,Heckman,Apricot Yarn & Supply,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,named_contact,has_full_name,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
hello@castawayyarnshop.com,+17075469276,Cast Away Yarn Shop,,Cast Away Yarn Shop,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
795-1229firebirdyarns@gmail.comfirebird,+14157951229,Firebird Yarns,,Firebird Yarns,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
filler@godaddy.com,+16503069218,Amazing Yarns,,Amazing Yarns,USA,yarn_store,retail_store,international,new,pending,yarn_store_directory,medium,yarn_store_directory,"usa,name_fallback,whatsapp_ready",yarn_store_lead,International Yarn Store.xlsx
