email,first_name,last_name,company,phone,city,country,customer_subtype,tags,id,website,address,state,postal_code,customer_type,geography,engagement_level,consent_status,consent_source,total_emails_sent,total_emails_opened,total_emails_clicked,last_email_sent_at,last_email_opened_at,is_dispatched,is_contacted,response_notes,priority,source,notes,created_at,updated_at
aurorayarnsofalaska@gmail.com,,,Aurora Yarns,19076120712,Skagaway,US,retail_store,yarn store,3ee08839,http://www.aurorayarnsofalaska.com/,"602 Broadway, Skagway, AK 99840, United States",Alaska,99840.0,yarn_store,international,new,pending,yarn_store_list,0,0,0,,,False,False,,,yarn_store_list,,2026-01-20T04:32:14.919637,2026-01-20T04:32:14.919646
woolymammothalaska@gmail.com,,,Cabin Fever,19072783522,Anchorage,US,retail_store,yarn store,c72a8803,http://www.woolymammothalaska.com/,"412 G St, Anchorage, AK 99501, United States",Alaska,99501.0,yarn_store,international,new,pending,yarn_store_list,0,0,0,,,False,False,,,yarn_store_list,,2026-01-20T04:32:14.919806,2026-01-20T04:32:14.919810
fabulousfiberartsandmore@gmail.com,,,Fabulous Fiver Arts and More,19072259161,Ketchikan,US,retail_store,yarn store,2094005d,https://fabulousfiberartsak.com/,"716 Totem Way #100, Ketchikan, AK 99901, United States",Alaska,99901.0,yarn_store,international,new,pending,yarn_store_list,0,0,0,,,False,False,,,yarn_store_list,,2026-01-20T04:32:14.919947,2026-01-20T04:32:14.919951
custhelp@michaels.com,,,Michaels,19073368600,Anchorage,US,retail_store,craft store,7f617d7e,,"Madigan Place, 8571 Old Seward Hwy, Anchorage, AK 99515, United States",Alaska,99515.0,yarn_store,international,new,pending,yarn_store_list,0,0,0,,,False,False,,,yarn_store_list,,2026-01-20T04:32:14.920137,2026-01-20T04:32:14.920141
annie@akfnyc.com,,,Far North Yarn Co.,19072585648,Anchorage,US,retail_store,yarn store,a06f9533,https://www.akfnyc.com/,"751 E 36th Ave #112, Anchorage, AK 99503, United States",Alaska,99503.0,yarn_store,international,new,pending,yarn_store_list,0,0,0,,,False,False,,,yarn_store_list,,2026-01-20T04:32:14.920274,2026-01-20T04:32:14.920278
sales@northernthreads.biz,,,Northern Threads Inc.,19079312599,Fairbanks,US,retail_store,fabric store,ccacf05c,https://www.northernthreads.net/,"1875 University Ave S, Fairbanks, AK 99709, United States",Alaska,99709.0,yarn_store,international,new,pending,yarn_store_list,0,0,0,,,False,False,,,yarn_store_list,,2026-01-20T04:32:14.920498,2026-01-20T04:32:14.920505
sandy@polychromefibers.com,,,Polychrome Fibres,,Denali Park,US,retail_store,yarn store,f47ee5d0,https://www.polychromefibers.com/,"Denali National Park and Preserve, 238.9 Parks Hwy, Denali National Park and Preserve, AK 99755, United States",Alaska,99755.0,yarn_store,international,new,pending,yarn_store_list,0,0,0,,,False,False,,,yarn_store_list,,2026-01-20T04:32:14.920699,2026-01-20T04:32:14.920704
glacierpurls@gmail.com,,,Glacier Purls,19077073338,Palmer,US,retail_store,yarn store,a1f192cf,,"1150 S Colony Way Ste 8, Palmer, AK 99645, United States",Alaska,99645.0,yarn_store,international,new,pending,yarn_store_list,0,0,0,,,False,False,,,yarn_store_list,,2026-01-20T04:32:14.920837,2026-01-20T04:32:14.920841
customer.service@joann.com,,,JOANN Fabric and Crafts,19072027822,Anchorage,US,retail_store,craft store,2edb3393,https://www.joann.com/?utm_campaign=website-homepage&utm_medium=google&utm_content=website&utm_source=local-listing,"3801 Old Seward Hwy, Anchorage, AK 99503, United States",Alaska,99503.0,yarn_store,international,new,pending,yarn_store_list,0,0,0,,,False,False,,,yarn_store_list,,2026-01-20T04:32:14.920971,2026-01-20T04:32:14.920975
robinsnestfiberarts@gmail.com,,,Robin's Nest Fiber Arts,19283257632,,US,retail_store,yarn store,a5aeb6b8,https://robinsnestfiberarts.com/,,Alaska,,yarn_store,international,new,pending,yarn_store_list,0,0,0,,,False,False,,,yarn_store_list,,2026-01-20T04:32:14.921095,2026-01-20T04:32:14.921099
