id,email,first_name,last_name,company,phone,website,address,city,state,country,postal_code,customer_type,customer_subtype,geography,engagement_level,tags,consent_status,consent_source,lifecycle,total_emails_sent,total_emails_opened,total_emails_clicked,last_email_sent_at,last_email_opened_at,is_dispatched,is_contacted,response_notes,priority,source,notes,wa_id,wa_consent_status,wa_profile_name,last_wa_inbound_at,last_wa_outbound_at,created_at,updated_at
df78aa22,abrugs1@gmail.com,Arshad,Ali Ansari,Ansari Brothers Rugs,+919792037176,,,,,India,,existing_client,,domestic_india,warm,,granted,existing_relationship,customer,0,0,0,,,False,False,,high,existing_client_list,,919792037176,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
8d8e4b9b,alhamrugs@gmail.com,Rizwan,Alam,Alham Rugs,+917408094004,,,,,India,,existing_client,,domestic_india,warm,,granted,existing_relationship,customer,0,0,0,,,False,False,,high,existing_client_list,,917408094004,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
56302b9c,info@avisoncrafts.com,Shubham,Barnwal,Avison Crafts,+919839065441,,,,,India,,existing_client,,domestic_india,warm,,granted,existing_relationship,customer,0,0,0,,,False,False,,high,existing_client_list,,919839065441,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
76c57bca,info@creativeknotsllp.com,Abdul Talib,Ansari,Creative Knots Llp,+919839055992,,,,,India,,existing_client,,domestic_india,warm,,granted,existing_relationship,customer,0,0,0,,,False,False,,high,existing_client_list,,919839055992,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
3a71ad48,jaipur@jaipurrugs.com,Jaipur Rugs Company Limited,,Jaipur Rugs Company Limited,+919839854711,,,,,India,,existing_client,,domestic_india,warm,,granted,existing_relationship,customer,0,0,0,,,False,False,,high,existing_client_list,,919839854711,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
6e8f7e13,sadanrugs1@gmail.com,Mohd Kasim,Ansari,K S Trading,+919598228848,,,,,India,,existing_client,,domestic_india,warm,,granted,existing_relationship,customer,0,0,0,,,False,False,,high,existing_client_list,,919598228848,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
b5cae256,contact@connect2india.com,Maqsood Alam,Ansari,Mys Rugs & Home Llp,+919839049924,,,,,India,,existing_client,,domestic_india,warm,,granted,existing_relationship,customer,0,0,0,,,False,False,,high,existing_client_list,,919839049924,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
5909cd7e,nagendrakdubey@gmail.com,Nagendra,Dubey,N K Enterprises,+919140289201,,,,,India,,existing_client,,domestic_india,warm,,granted,existing_relationship,customer,0,0,0,,,False,False,,high,existing_client_list,,919140289201,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
6a6cd57f,zohafloorcoverings@gmail.com,Rafey,Ansari,Zoha Floor Coverings,+915414278224,,,,,India,,existing_client,,domestic_india,warm,,granted,existing_relationship,customer,0,0,0,,,False,False,,high,existing_client_list,,915414278224,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
0d4b1d21,aarna.enpr@gmail.com,Aarna Enterprises,,Aarna Enterprises,+919838204362,,,,,India,,existing_client,lapsed,domestic_india,cold,,granted,prior_customer,customer,0,0,0,,,False,False,,high,lapsed_client_list,,919838204362,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
7831c6b2,aabiscarpets@gmail.com,Khaleeque Ahsan,Ansari,Aabis Carpet Exports,+919839153933,,,,,India,,existing_client,lapsed,domestic_india,cold,,granted,prior_customer,customer,0,0,0,,,False,False,,high,lapsed_client_list,,919839153933,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
cad9b112,ashutandon@ambadi.murugappa.com,Ashu,Tandon,Ambadi Enterprises Limited,+919910100561,,,,,India,,existing_client,lapsed,domestic_india,cold,,granted,prior_customer,customer,0,0,0,,,False,False,,high,lapsed_client_list,,919910100561,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
e1ea5060,creativeknots1@gmail.com,Muslima,Khatoon,Creative Knots,+918303557355,,,,,India,,existing_client,lapsed,domestic_india,cold,,granted,prior_customer,customer,0,0,0,,,False,False,,high,lapsed_client_list,,918303557355,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
6da2e26c,excelrugexport@gmail.com,Mohd.,Shahabaj,Excel Rug Exports,+919398479933,,,,,India,,existing_client,lapsed,domestic_india,cold,,granted,prior_customer,customer,0,0,0,,,False,False,,high,lapsed_client_list,,919398479933,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
84f554ad,himgiri@himgiriexports.com,Girwar,Singh,Himgiri Exports,+919829065042,,,,,India,,existing_client,lapsed,domestic_india,cold,,granted,prior_customer,customer,0,0,0,,,False,False,,high,lapsed_client_list,,919829065042,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
1bd9c236,ausaf@husain-international.com,Tausif J.A.,Hussain,Husain International,+919575657000,,,,,India,,existing_client,lapsed,domestic_india,cold,,granted,prior_customer,customer,0,0,0,,,False,False,,high,lapsed_client_list,,919575657000,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
09ee3b5f,khalid@indianloomcreation.com,Khalid,Jamal Ansari,Indian Loom Creation,+919919048730,,,,,India,,existing_client,lapsed,domestic_india,cold,,granted,prior_customer,customer,0,0,0,,,False,False,,high,lapsed_client_list,,919919048730,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
98eb5e8a,bhadohi@cepc.co.in,Indian Carpet Mart,,Indian Carpet Mart,,,,,,India,,existing_client,lapsed,domestic_india,cold,,granted,prior_customer,customer,0,0,0,,,False,False,,high,lapsed_client_list,,,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
a2202034,accounts@jamilaarts.com,Rashid,Akhtar,Jamila Arts,+919839093039,,,,,India,,existing_client,lapsed,domestic_india,cold,,granted,prior_customer,customer,0,0,0,,,False,False,,high,lapsed_client_list,,919839093039,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
47f3f5b4,info@jutehome.com,Jute Home,,Jute Home,+919007799966,,,,,India,,existing_client,lapsed,domestic_india,cold,,granted,prior_customer,customer,0,0,0,,,False,False,,high,lapsed_client_list,,919007799966,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
c34ba05f,kalamkilms@gmail.com,Abdul,Kalam,Kalam Kilms,+919044228214,,,,,India,,existing_client,lapsed,domestic_india,cold,,granted,prior_customer,customer,0,0,0,,,False,False,,high,lapsed_client_list,,919044228214,unknown,,,,2026-05-05T04:14:11.937982+00:00,2026-05-05T04:14:11.937982+00:00
